Name,Node,Label,Describe
CONG TO HIEN THANH,973,,
CONG LY THUONG KIET,283,,
PTN VAT LIEU MOI,38,,
B3,403,,
HO CA BACH KHOA,699,,
VUON UOM DOANH NGHIEP,851,,
B1,599,,
B2,709,,
SAN BONG BACH KHOA,630,,
B4,438,,
CAN TIN,160,,
B6,267,,
XUONG IN,52,,
C1,138,,
A1,914,,
THU VIEN A2,797,,
B8,711,,
B9,779,,
A5,749,,
A4,719,,
B10,898,,
C2,823,,
B7,701,,
B11,445,,
B12,251,,
C3,380,,
C4,149,,
C5,54,,
C6,15,,
CAN TIN C6,21,,
CONG TO HIEN THANH 2,975,,
A3,907,,
VAN PHONG DAO TAO QUOC TE,,A4,Lầu 4 - phòng 402
PHONG DAO TAO,,A1,
THU VIEN OISP,,A4,Lầu 5
PHONG THI NGHIEM KY THUAT MAY TINH,,C5,Lầu 2 - phòng 202
HOI TRUONG B4,,B4,Tầng trệt - Nằm bên phải tòa nhà
VAN PHONG KHOA MAY TINH,,A3,
KHOA KHOA HOC UNG DUNG,,B4,
KHOA XAY DUNG,,B6,
KHOA KY THUAT GIAO THONG,,C5,
KHOA DIEN,,B1,
