Name,Job
Ths.NGUYEN CAO TRI,PTK Khoa hoc va Ki thuat May tinh
PGS. TS. PHAM TRAN VU,TK Khoa hoc va Ki thuat May tinh 
PGS. TS. QUAN THANH THO,PTK Khoa hoc va Ki thuat May tinh
CHI PHEO,Nguoi an va 
LE DUC DONG,Hieu truong truong dai hoc Bach Khoa Tphcm
KIM JONG UN,Lanh dao toi cao
DONALD TRUMP, o nha vi khong duoc lam tong thong
TS.TRAN TRUNG NGHIA,o khoa khoa hoc ung dung
TS.LE XUAN DAI,o khoa khoa hoc ung dung
TS.DAO THI BICH HONG,o khoa khoa hoc ung dung
PGS. TS. HUYNH QUANG LINH,o khoa khoa hoc ung dung
PGS. TS. HUYNH DAI PHU,TK Khoa CONG NGHE VAT LIEU
TS. CAO XUAN VIET,PTK Khoa CONG NGHE VAT LIEU
TS. NGUYEN KHANH SON,PTK Khoa CONG NGHE VAT LIEU
PGS. TS. DO HONG TUAN,TK Khoa DIEN-DIEN TU
PGS. TS. PHAN QUOC DUNG, PTK Khoa DIEN-DIEN TU
TS. NGUYEN QUANG NAM, PTK Khoa DIEN-DIEN TU
